name,name_ascii,isCapital,latCentre,longCentre,iso2,iso3,countrySubIso
Port Mathurin,Port Mathurin,0,-19.6833,63.4211,MU,MUS,NULL
Calstock,Calstock,0,50.497,-4.21,GB,GBR,NULL
Dromana,Dromana,0,-38.338,144.965,AU,AUS,NULL
Douar Tassila Imassouane,Douar Tassila Imassouane,0,31.1386,-9.6092,MA,MAR,NULL
Milford,Milford,0,42.587,-83.6012,US,USA,NULL
Dobrotvir,Dobrotvir,0,50.2056,24.3864,UA,UKR,NULL
Bispingen,Bispingen,0,53.0828,9.9983,DE,DEU,NULL
Weaverham,Weaverham,0,53.262,-2.577,GB,GBR,NULL
Kingston,Kingston,0,41.4738,-71.5236,US,USA,NULL
Bagrationovsk,Bagrationovsk,0,54.3833,20.6333,RU,RUS,NULL
Schallstadt,Schallstadt,0,47.9581,7.7503,DE,DEU,NULL
Bácsalmás,Bacsalmas,0,46.1239,19.3261,HU,HUN,NULL
Air Force Academy,Air Force Academy,0,38.9942,-104.8639,US,USA,NULL
De Soto,De Soto,0,38.9686,-94.9548,US,USA,NULL
Blankenhain,Blankenhain,0,50.86,11.3439,DE,DEU,NULL
Novo Oriente,Novo Oriente,0,-6.4489,-41.9389,BR,BRA,NULL
Avon,Avon,0,39.6445,-106.5133,US,USA,NULL
Luís Domingues,Luis Domingues,0,-1.2678,-45.8728,BR,BRA,NULL
Silacayoápam,Silacayoapam,0,17.5,-98.1333,MX,MEX,NULL
Offanengo,Offanengo,0,45.3833,9.7333,IT,ITA,NULL
Barzanò,Barzano,0,45.7333,9.3167,IT,ITA,NULL
Casorate Sempione,Casorate Sempione,0,45.6667,8.7333,IT,ITA,NULL
Castries,Castries,0,43.6789,3.9814,FR,FRA,NULL
New Inn,New Inn,0,51.691,-3.009,GB,GBR,NULL
Nilsiä,Nilsia,0,63.2042,28.0833,FI,FIN,NULL
Salem,Salem,0,40.4071,-79.5141,US,USA,NULL
Lèves,Leves,0,48.4689,1.4814,FR,FRA,NULL
Chrastava,Chrastava,0,50.817,14.9689,CZ,CZE,NULL
Metelen,Metelen,0,52.1444,7.2119,DE,DEU,NULL
Heathcote,Heathcote,0,40.3908,-74.5756,US,USA,NULL
Jaunay-Clan,Jaunay-Clan,0,46.6856,0.37,FR,FRA,NULL
Balsthal,Balsthal,0,47.3164,7.6944,CH,CHE,NULL
Rittman,Rittman,0,40.9736,-81.7849,US,USA,NULL
Bangor Base,Bangor Base,0,47.7227,-122.7146,US,USA,NULL
Saint-Cyr-au-Mont-d’Or,Saint-Cyr-au-Mont-d'Or,0,45.8144,4.8181,FR,FRA,NULL
Brignano Gera d’Adda,Brignano Gera d'Adda,0,45.5333,9.6333,IT,ITA,NULL
Lassance,Lassance,0,-17.8869,-44.5778,BR,BRA,NULL
Anadarko,Anadarko,0,35.0652,-98.2441,US,USA,NULL
Slavi?ín,Slavicin,0,49.088,17.8735,CZ,CZE,NULL
Barnstorf,Barnstorf,0,52.7103,8.5086,DE,DEU,NULL
Bahman,Bahman,0,31.1942,52.4839,IR,IRN,NULL
Dourges,Dourges,0,50.4361,2.9867,FR,FRA,NULL
Botumirim,Botumirim,0,-16.8719,-43.0108,BR,BRA,NULL
Weiskirchen,Weiskirchen,0,49.5561,6.82,DE,DEU,NULL
Laudun-l’Ardoise,Laudun-l'Ardoise,0,44.105,4.6575,FR,FRA,NULL
Zell im Wiesental,Zell im Wiesental,0,47.7069,7.8514,DE,DEU,NULL
Schriever,Schriever,0,29.7334,-90.831,US,USA,NULL
Sommariva del Bosco,Sommariva del Bosco,0,44.7667,7.7833,IT,ITA,NULL
Harrah,Harrah,0,35.4779,-97.1857,US,USA,NULL
Monticello,Monticello,0,36.8404,-84.8506,US,USA,NULL
Obergünzburg,Obergunzburg,0,47.85,10.4167,DE,DEU,NULL
Podbo?any,Podborany,0,50.2295,13.412,CZ,CZE,NULL
Williamston,Williamston,0,42.6835,-84.2836,US,USA,NULL
Homeacre-Lyndora,Homeacre-Lyndora,0,40.8721,-79.9211,US,USA,NULL
?ishida,Oishida,0,38.5939,140.3728,JP,JPN,NULL
Brannenburg,Brannenburg,0,47.7333,12.1,DE,DEU,NULL
Doutor Severiano,Doutor Severiano,0,-6.0939,-38.375,BR,BRA,NULL
Bakum,Bakum,0,52.7428,8.1958,DE,DEU,NULL
Nossa Senhora de Lourdes,Nossa Senhora de Lourdes,0,-10.0794,-37.1078,BR,BRA,NULL
Pratt,Pratt,0,37.6764,-98.7451,US,USA,NULL
Basehor,Basehor,0,39.1332,-94.9333,US,USA,NULL
Dudenhofen,Dudenhofen,0,49.3178,8.3906,DE,DEU,NULL
Geneseo,Geneseo,0,41.4508,-90.154,US,USA,NULL
Benfeld,Benfeld,0,48.3706,7.5922,FR,FRA,NULL
Millingen aan de Rijn,Millingen aan de Rijn,0,51.8667,6.05,NL,NLD,NULL
Severance,Severance,0,40.527,-104.8642,US,USA,NULL
Ocean Shores,Ocean Shores,0,46.9685,-124.1521,US,USA,NULL
San Michele Salentino,San Michele Salentino,0,40.6333,17.6333,IT,ITA,NULL
Kondor,Kondor,0,35.2131,58.1514,IR,IRN,NULL
Sciez,Sciez,0,46.3319,6.3739,FR,FRA,NULL
La Habra Heights,La Habra Heights,0,33.9602,-117.951,US,USA,NULL
Gangkofen,Gangkofen,0,48.4369,12.5633,DE,DEU,NULL
San Ramón,San Ramon,0,-13.2672,-64.6172,BO,BOL,NULL
Caneva,Caneva,0,45.9667,12.45,IT,ITA,NULL
East Rochester,East Rochester,0,43.112,-77.4869,US,USA,NULL
Cournonterral,Cournonterral,0,43.5578,3.7189,FR,FRA,NULL
Dragalina,Dragalina,0,44.4346,27.3318,RO,ROU,NULL
Rio Sono,Rio Sono,0,-9.3439,-47.9019,BR,BRA,NULL
Mulvane,Mulvane,0,37.4788,-97.2724,US,USA,NULL
Beerfelden,Beerfelden,0,49.5676,8.9738,DE,DEU,NULL
Tiradentes,Tiradentes,0,-27.3978,-54.0839,BR,BRA,NULL
Looe,Looe,0,50.354,-4.454,GB,GBR,NULL
Bungay,Bungay,0,52.4496,1.4477,GB,GBR,NULL
Camilla,Camilla,0,31.2337,-84.2089,US,USA,NULL
Lynchburg,Lynchburg,0,35.2846,-86.3587,US,USA,NULL
Hillandale,Hillandale,0,39.0254,-76.9751,US,USA,NULL
Yar-Sale,Yar-Sale,0,66.8633,70.83,RU,RUS,NULL
Žarnovica,Zarnovica,0,48.4833,18.7167,SK,SVK,NULL
Schwarzenfeld,Schwarzenfeld,0,49.3833,12.1333,DE,DEU,NULL
Grayvoron,Grayvoron,0,50.4833,35.6667,RU,RUS,NULL
Taksony,Taksony,0,47.3319,19.0631,HU,HUN,NULL
Weiler-Simmerberg,Weiler-Simmerberg,0,47.5833,9.9333,DE,DEU,NULL
Medolla,Medolla,0,44.8488,11.0714,IT,ITA,NULL
Iacri,Iacri,0,-21.8583,-50.6894,BR,BRA,NULL
Stratmoor,Stratmoor,0,38.7732,-104.7787,US,USA,NULL
Saint-Jean-de-Boiseau,Saint-Jean-de-Boiseau,0,47.1942,-1.7247,FR,FRA,NULL
